iter	Passed	Remaining
157	23439	124910
158	23584	124745
159	23677	124305
160	23819	124127
161	23984	124066
162	24141	123964
163	24311	123931
164	24488	123924
165	24654	123864
166	24830	123857
167	25010	123861
168	25176	123796
169	25331	123677
170	25471	123484
171	25651	123483
172	25849	123568
173	26013	123489
174	26201	123519
175	26360	123417
176	26536	123386
177	26719	123391
178	26848	123142
179	27032	123146
180	27242	123267
181	27444	123347
182	27652	123456
183	27829	123417
184	28052	123584
185	28274	123738
186	28485	123844
187	28667	123820
188	28878	123916
189	29071	123935
190	29255	123913
191	29385	123665
192	29569	123641
193	29746	123587
194	29888	123385
195	30047	123256
196	30200	123101
197	30426	123242
198	30634	123308
199	30820	123283
200	31023	123322
201	31201	123261
202	31404	123298
203	31610	123342
204	31815	123383
205	32000	123340
206	32190	123317
207	32397	123359
208	32519	123074
209	32706	123038
210	32887	122978
211	33131	123150
212	33287	122990
213	33473	122942
214	33633	122799
215	33839	122824
216	34004	122698
217	34182	122617
218	34287	122278
219	34469	122211
220	34613	122008
221	34785	121904
222	34905	121621
223	35102	121606
224	35297	121578
225	35417	121296
226	35631	121336
227	35829	121317
228	36029	121303
229	36211	121230
230	36377	121102
231	36563	121038
232	36779	121072
233	36998	121115
234	37177	121024
235	37364	120958
236	37567	120944
237	37693	120683
238	37927	120765
239	38119	120712
240	38339	120745
241	38542	120723
242	38741	120688
243	38957	120704
244	39149	120643
245	39348	120604
246	39549	120569
247	39744	120515
248	39920	120403
249	40110	120330
250	40246	120097
251	40406	119936
252	40599	119873
253	40790	119803
254	40924	119564
255	41110	119478
256	41309	119428
257	41523	119420
258	41742	119426
259	41969	119451
260	42160	119373
261	42358	119315
262	42543	119219
263	42715	119084
264	42950	119128
265	43112	118964
266	43288	118839
267	43491	118790
268	43689	118723
269	43906	118710
270	44076	118567
271	44254	118445
272	44474	118437
273	44666	118348
274	44860	118269
275	45038	118143
276	45182	117930
277	45384	117868
278	45583	117797
279	45773	117703
280	45931	117526
281	46065	117287
282	46263	117212
283	46430	117057
284	46563	116817
285	46774	116772
286	46933	116597
287	47067	116361
288	47273	116303
289	47473	116227
290	47630	116047
291	47769	115825
292	47887	115550
293	48079	115456
294	48286	115397
295	48467	115273
296	48617	115078
297	48782	114916
298	48908	114665
299	49096	114558
300	49287	114457
301	49473	114345
302	49667	114251
303	49856	114146
304	50078	114113
305	50246	113957
306	50451	113885
307	50662	113826
308	50841	113694
309	51023	113568
310	51219	113472
311	51362	113260
312	51558	113165
313	51750	113059
314	51883	112825
315	52011	112582
316	52192	112453
317	52402	112386
318	52555	112194
319	52733	112057
320	52912	111924
321	53050	111702
322	53180	111465
323	53367	111347
324	53536	111191
325	53711	111046
326	53896	110924
327	54106	110852
328	54284	110714
329	54454	110558
330	54563	110280
331	54681	110022
332	54889	109943
333	55062	109794
334	55197	109572
335	55404	109489
336	55519	109226
337	55717	109128
338	55857	108913
339	56018	108740
340	56187	108584
341	56364	108444
342	56556	108331
343	56706	108138
344	56799	107836
345	56998	107737
346	57200	107643
347	57361	107470
348	57478	107215
349	57644	107053
350	57844	106955
351	58028	106825
352	58207	106686
353	58382	106539
354	58579	106433
355	58790	106351
356	59009	106282
357	59204	106171
358	59398	106056
359	59590	105938
360	59763	105785
361	59928	105619
362	60060	105394
363	60257	105284
364	60470	105202
365	60720	105183
366	60931	105093
367	61116	104960
368	61303	104830
369	61495	104707
370	61732	104662
371	61926	104541
372	62142	104459
373	62349	104359
374	62517	104196
375	62704	104061
376	62889	103926
377	63087	103810
378	63278	103682
379	63421	103477
380	63584	103304
381	63739	103118
382	63931	102991
383	64051	102749
384	64240	102617
385	64418	102468
386	64608	102338
387	64781	102181
388	64948	102013
389	65150	101901
390	65322	101742
391	65503	101597
392	65633	101372
393	65845	101275
394	65972	101046
395	66145	100889
396	66308	100715
397	66498	100582
398	66674	100429
399	66853	100280
400	67038	100140
401	67221	99996
402	67432	99893
403	67638	99783
404	67827	99648
405	68031	99534
406	68216	99391
407	68446	99314
408	68595	99119
409	68798	99002
410	68977	98851
411	69114	98638
412	69307	98507
413	69502	98378
414	69701	98253
415	69865	98079
416	70028	97906
417	70237	97795
418	70419	97646
419	70612	97513
420	70801	97373
421	70895	97102
422	71102	96988
423	71256	96801
424	71435	96648
425	71638	96526
426	71835	96397
427	72029	96264
428	72213	96116
429	72379	95945
430	72519	95739
431	72710	95600
432	72908	95470
433	73113	95350
434	73296	95200
435	73500	95078
436	73699	94949
437	73925	94854
438	74135	94737
439	74310	94576
440	74491	94423
441	74672	94269
442	74885	94155
443	75047	93978
444	75230	93827
445	75395	93652
446	75560	93478
447	75778	93369
448	75943	93195
449	76118	93033
450	76249	92817
451	76422	92654
452	76610	92507
453	76826	92394
454	76972	92197
455	77140	92027
456	77299	91846
457	77504	91719
458	77677	91554
459	77855	91395
460	78020	91221
461	78211	91077
462	78409	90941
463	78613	90812
464	78770	90628
465	78948	90469
466	79176	90366
467	79354	90206
468	79541	90056
469	79737	89916
470	79932	89776
471	80088	89590
472	80240	89400
473	80374	89191
474	80556	89035
475	80762	88906
476	80905	88707
477	81011	88468
478	81213	88334
479	81411	88196
480	81537	87979
481	81708	87811
482	81855	87618
483	82066	87492
484	82288	87378
485	82501	87254
486	82662	87075
487	82856	86931
488	83034	86769
489	83212	86608
490	83363	86419
491	83511	86227
492	83669	86045
493	83827	85863
494	84020	85718
495	84175	85533
496	84376	85394
497	84576	85255
498	84754	85093
499	84903	84903
500	85089	84749
501	85211	84532
502	85353	84335
503	85472	84115
504	85673	83977
505	85859	83823
506	86013	83638
507	86230	83514
508	86391	83336
509	86593	83197
510	86769	83033
511	86897	82824
512	87094	82680
513	87331	82574
514	87468	82372
515	87653	82217
516	87794	82020
517	87904	81795
518	88015	81570
519	88190	81406
520	88348	81226
521	88479	81021
522	88646	80849
523	88765	80634
524	88969	80496
525	89157	80343
526	89369	80211
527	89517	80022
528	89686	79852
529	89887	79711
530	90066	79550
531	90235	79379
532	90386	79194
533	90567	79034
534	90727	78856
535	90928	78713
536	91122	78565
537	91321	78421
538	91479	78241
539	91687	78104
540	91811	77895
541	92014	77754
542	92158	77562
543	92263	77338
544	92456	77188
545	92603	77000
546	92771	76828
547	92886	76614
548	93103	76483
549	93293	76331
550	93465	76163
551	93608	75971
552	93815	75832
553	93966	75648
554	94185	75517
555	94358	75351
556	94572	75216
557	94744	75048
558	94906	74872
559	95067	74695
560	95248	74535
561	95406	74355
562	95587	74194
563	95722	73998
564	95956	73877
565	96175	73746
566	96338	73570
567	96535	73421
568	96742	73279
569	96927	73120
570	97018	72891
571	97133	72680
572	97263	72481
573	97379	72270
574	97580	72124
575	97777	71975
576	97958	71813
577	98144	71655
578	98336	71502
579	98509	71334
580	98694	71175
581	98870	71010
582	99057	70852
583	99230	70684
584	99440	70543
585	99556	70335
586	99728	70166
587	99922	70013
588	100074	69831
589	100289	69692
590	100479	69536
591	100642	69361
592	100775	69166
593	100877	68949
594	101095	68812
595	101287	68657
596	101489	68509
597	101680	68353
598	101882	68205
599	102077	68051
600	102204	67853
601	102303	67636
602	102521	67497
603	102659	67306
604	102892	67177
605	103088	67024
606	103292	66876
607	103494	66726
608	103659	66553
609	103876	66412
610	103986	66204
611	104143	66025
612	104357	65882
613	104508	65700
614	104669	65524
615	104873	65375
616	105038	65202
617	105219	65038
618	105395	64872
619	105594	64719
620	105764	64548
621	105955	64391
622	106120	64217
623	106263	64030
624	106446	63868
625	106627	63703
626	106817	63545
627	106996	63380
628	107151	63200
629	107324	63032
630	107466	62844
631	107677	62698
632	107798	62499
633	107937	62311
634	108131	62154
635	108321	61995
636	108481	61819
637	108610	61625
638	108723	61422
639	108881	61245
640	109002	61048
641	109190	60887
642	109301	60685
643	109427	60490
644	109599	60322
645	109782	60159
646	109969	59998
647	110151	59835
648	110323	59666
649	110506	59503
650	110670	59330
651	110876	59179
652	111047	59009
653	111166	58812
654	111327	58638
655	111502	58470
656	111681	58305
657	111881	58151
658	112039	57974
659	112264	57833
660	112449	57670
661	112633	57507
662	112784	57328
663	112947	57154
664	113141	56996
665	113273	56806
666	113456	56643
667	113654	56487
668	113781	56295
669	114016	56157
670	114186	55987
671	114374	55825
672	114590	55677
673	114774	55514
674	114999	55370
675	115142	55186
676	115261	54991
677	115430	54821
678	115540	54622
679	115764	54477
680	115938	54308
681	116082	54126
682	116222	53942
683	116334	53744
684	116541	53591
685	116689	53411
686	116830	53228
687	116994	53055
688	117116	52863
689	117314	52706
690	117514	52549
691	117673	52374
692	117780	52176
693	118010	52033
694	118194	51869
695	118384	51707
696	118591	51554
697	118797	51399
698	119003	51244
699	119239	51102
700	119384	50921
701	119604	50772
702	119815	50618
703	120018	50462
704	120192	50293
705	120369	50125
706	120593	49977
707	120782	49814
708	120929	49634
709	121109	49467
710	121293	49302
711	121509	49150
712	121691	48983
713	121835	48802
714	121976	48620
715	122165	48456
716	122385	48305
717	122584	48146
718	122747	47972
719	122931	47806
720	123048	47615
721	123189	47433
722	123378	47269
723	123481	47072
724	123610	46886
725	123779	46715
726	123971	46553
727	124167	46392
728	124338	46221
729	124524	46057
730	124618	45858
731	124743	45670
732	124940	45510
733	125114	45341
734	125301	45176
735	125538	45030
736	125638	44834
737	125830	44671
738	126021	44508
739	126214	44345
740	126406	44182
741	126601	44020
742	126777	43851
743	126966	43687
744	127100	43504
745	127288	43339
746	127500	43182
747	127665	43010
748	127826	42836
749	128040	42680
750	128247	42521
751	128458	42364
752	128687	42212
753	128834	42033
754	128963	41849
755	129186	41695
756	129436	41549
757	129651	41392
758	129871	41237
759	130043	41066
760	130195	40889
761	130377	40721
762	130564	40555
763	130751	40389
764	130977	40234
765	131171	40070
766	131355	39903
767	131530	39733
768	131726	39569
769	131868	39389
770	132026	39214
771	132202	39044
772	132372	38872
773	132485	38684
774	132652	38512
775	132807	38336
776	132931	38151
777	133120	37985
778	133255	37804
779	133384	37621
780	133581	37457
781	133763	37289
782	133933	37118
783	134101	36946
784	134227	36762
785	134403	36593
786	134595	36428
787	134790	36263
788	134946	36088
789	135145	35924
790	135289	35746
791	135438	35569
792	135651	35409
793	135786	35229
794	135964	35060
795	136063	34870
796	136282	34711
797	136392	34525
798	136619	34368
799	136814	34203
800	136969	34028
801	137172	33865
802	137376	33702
803	137510	33522
804	137690	33353
805	137873	33185
806	138066	33019
807	138269	32856
808	138474	32692
809	138679	32529
810	138906	32371
811	139047	32193
812	139193	32016
813	139358	31843
814	139469	31658
815	139603	31479
816	139808	31315
817	139986	31146
818	140132	30969
819	140256	30788
820	140373	30605
821	140469	30418
822	140649	30249
823	140819	30077
824	140912	29890
825	141016	29705
826	141230	29543
827	141339	29360
828	141488	29185
829	141731	29029
830	141937	28865
831	142130	28699
832	142318	28532
833	142516	28366
834	142687	28195
835	142855	28024
836	143060	27859
837	143241	27691
838	143417	27521
839	143615	27355
840	143834	27193
841	144004	27022
842	144191	26854
843	144354	26681
844	144483	26502
845	144658	26332
846	144781	26152
847	144948	25981
848	145116	25809
849	145294	25640
850	145435	25464
851	145616	25294
852	145795	25125
853	145938	24949
854	146124	24781
855	146328	24616
856	146469	24440
857	146629	24267
858	146821	24099
859	147002	23930
860	147148	23755
861	147318	23584
862	147485	23413
863	147670	23244
864	147811	23068
865	148019	22903
866	148190	22732
867	148308	22553
868	148425	22374
869	148576	22201
870	148670	22018
871	148795	21841
872	148954	21669
873	149106	21495
874	149266	21323
875	149434	21152
876	149558	20975
877	149694	20800
878	149835	20625
879	150030	20458
880	150236	20293
881	150416	20123
882	150609	19956
883	150815	19790
884	151020	19624
885	151157	19449
886	151310	19276
887	151424	19098
888	151524	18919
889	151731	18753
890	151838	18575
891	152034	18407
892	152178	18234
893	152414	18071
894	152613	17904
895	152836	17739
896	153007	17569
897	153129	17393
898	153295	17222
899	153495	17055
900	153710	16889
901	153893	16720
902	154008	16543
903	154166	16371
904	154342	16201
905	154499	16029
906	154669	15859
907	154854	15690
908	155057	15522
909	155243	15353
910	155454	15187
911	155640	15017
912	155799	14846
913	156008	14679
914	156176	14508
915	156339	14336
916	156499	14165
917	156656	13993
918	156811	13821
919	156962	13648
920	157152	13479
921	157289	13306
922	157464	13136
923	157665	12968
924	157862	12799
925	158038	12629
926	158187	12457
927	158338	12284
928	158512	12114
929	158713	11946
930	158899	11776
931	159025	11602
932	159150	11428
933	159363	11261
934	159572	11093
935	159760	10923
936	159970	10755
937	160188	10588
938	160386	10419
939	160597	10250
940	160772	10080
941	160945	9909
942	161095	9737
943	161281	9567
944	161460	9397
945	161616	9225
946	161801	9055
947	162002	8886
948	162121	8712
949	162345	8544
950	162539	8374
951	162652	8200
952	162769	8027
953	162878	7853
954	163092	7685
955	163288	7515
956	163489	7345
957	163620	7173
958	163757	7001
959	163871	6827
960	164036	6657
961	164248	6487
962	164383	6315
963	164563	6145
964	164698	5973
965	164886	5803
966	165110	5634
967	165295	5464
968	165431	5292
969	165629	5122
970	165766	4950
971	165910	4779
972	166011	4606
973	166107	4434
974	166202	4261
975	166393	4091
976	166582	3921
977	166698	3749
978	166866	3579
979	167067	3409
980	167265	3239
981	167508	3070
982	167695	2900
983	167847	2729
984	167988	2558
985	168103	2386
986	168258	2216
987	168436	2045
988	168641	1875
989	168811	1705
990	168999	1534
991	169160	1364
992	169270	1193
993	169369	1022
994	169587	852
995	169730	681
996	169925	511
997	170132	340
998	170315	170
999	170506	0
